年度,選舉種類,選舉種類名稱,admin_code_system,省市,縣市,選舉區,選舉區_語意,鄉鎮市區,村里,行政區名稱,縣市_正規化,鄉鎮市區_正規化,號次,姓名,政黨代號,政黨名稱,性別,年齡,年齡_原始,現任,當選註記,當選註記語意,當選,當選_依據
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,簡東明 Uliw．Qaljupayare,1,中國國民黨,1,64,64,Y,*,當選,Y,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,全承威,273,台灣獨立黨,1,27,27,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,林信義,283,信心希望聯盟,1,64,64,N,,未當選,N,elctks_檔別合計
2016,L3,立法委員(山地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,10,高金素梅,106,無黨團結聯盟,2,50,50,Y,*,當選,Y,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,1,鄭天財Sra．Kacaw,1,中國國民黨,1,63,63,Y,*,當選,Y,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,2,巫化．巴阿立佑司,348,喜樂島聯盟,2,54,54,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,3,黃仁,1,中國國民黨,1,57,57,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,4,高潞．以用．巴魕剌Kawlo．Iyun．Pacidal,356,台灣維新,2,42,42,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,5,曾美華,346,安定力量,2,44,44,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,6,楊進福,999,無黨籍及未經政黨推薦,1,62,62,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,7,達佶祐．卡造Takiyo．Kacaw,342,合一行動聯盟,1,50,50,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,8,張寶美Ungo．Panay,342,合一行動聯盟,2,53,53,N,,未當選,N,elctks_檔別合計
2020,L2,立法委員(平地原住民)選舉,2016+,00,000,01,無選區意義（全國單一選區）,000,0000,全國,,,9,陳瑩,16,民主進步黨,2,47,47,Y,*,當選,Y,elctks_檔別合計
